Pk_Id,Fk_LocalizationLevel1Id,Fk_LocalizationLevel2Id,Fk_LocalizationLevel3Id,Fk_LocalizationLevel4Id,Name,X,Y,Z,SortingId,Fk_StatusId
7501001,1,75,7500007,7500101,El Rosal,-73.13705,7.17779,15,10,2
7501002,1,75,7500007,7500101,Colorados,-73.131804,7.178867,15,10,2
7501003,1,75,7500007,7500101,Cafe Madrid,-73.140815,7.161674,15,10,2
7501004,1,75,7500007,7500101,Las Hamacas,-73.138078,7.158126,15,10,2
7501005,1,75,7500007,7500101,Altos del Kennedy,-73.136883,7.15629,15,10,2
7501006,1,75,7500007,7500101,Kennedy,-73.134634,7.15167,15,10,2
7501007,1,75,7500007,7500101,Balcones del Kennedy,-73.139019,7.154951,15,10,2
7501008,1,75,7500007,7500101,Las Olas,-73.133454,7.143555,15,10,2
7501009,1,75,7500007,7500101,Villa Rosa sectores I  II y III,-73.129926,7.15208,15,10,2
7501010,1,75,7500007,7500101,Omagá sectores I y II,-73.134379,7.149736,15,10,2
7501011,1,75,7500007,7500101,Minuto de Dios,-73.133242,7.148755,15,10,2
7501012,1,75,7500007,7500101,Tejar Norte sectores I y II,-73.135481,7.14959,15,10,2
7501013,1,75,7500007,7500101,Miramar,-73.131708,7.147484,15,10,2
7501014,1,75,7500007,7500101,Miradores de Kennedy,-73.13764,7.155944,15,10,2
7501015,1,75,7500007,7500101,El Pablón Villa Lina,-73.14304,7.179591,15,10,2
7501016,1,75,7500007,7500101,La Torre,-73.14304,7.179591,15,10,2
7501017,1,75,7500007,7500101,Villa Patricia,-73.14304,7.179591,15,10,2
7501018,1,75,7500007,7500101,Sector Don Juan,-73.14304,7.179591,15,10,2
7501019,1,75,7500007,7500101,Pablón Alto y Bajo,-73.14304,7.179591,15,10,2
7501020,1,75,7500007,7500101,Barrio Nuevo,-73.134892,7.172154,15,10,2
7501021,1,75,7500007,7500101,Divino Niño,-73.134892,7.172154,15,10,2
7501022,1,75,7500007,7500101,13 de Junio,-73.134892,7.172154,15,10,2
7501023,1,75,7500007,7500101,Altos del Progreso,-73.134892,7.172154,15,10,2
7501024,1,75,7500007,7500101,María Paz,-73.134892,7.172154,15,10,2
7501025,1,75,7500007,7500102,Los Angeles,-73.124783,7.153025,15,10,2
7501026,1,75,7500007,7500102,Villa Helena I y II,-73.127113,7.152849,15,10,2
7501027,1,75,7500007,7500102,José María Córdoba,-73.127113,7.152849,15,10,2
7501028,1,75,7500007,7500102,Esperanza I  II y III,-73.125671,7.147481,15,10,2
7501029,1,75,7500007,7500102,Lizcano I y II,-73.125672,7.148922,15,10,2
7501030,1,75,7500007,7500102,Regadero Norte,-73.123579,7.14666,15,10,2
7501031,1,75,7500007,7500102,San Cristóbal,-73.125776,7.144342,15,10,2
7501032,1,75,7500007,7500102,La Juventud,-73.17109,7.102514,15,10,2
7501033,1,75,7500007,7500102,Transición I  II III IV y V,-73.17109,7.102514,15,10,2
7501034,1,75,7500007,7500102,La Independencia,-73.17109,7.102514,15,10,2
7501035,1,75,7500007,7500102,Villa Mercedes,-73.17109,7.102514,15,10,2
7501036,1,75,7500007,7500102,Bosque Norte,-73.17109,7.102514,15,10,2
7501037,1,75,7500007,7500102,Mesetas del Santuario,-73.128108,7.149964,15,10,2
7501038,1,75,7500007,7500102,Villa María,-73.17109,7.102514,15,10,2
7501039,1,75,7500007,7500102,Mirador,-73.17109,7.102514,15,10,2
7501040,1,75,7500007,7500102,Primaveral,-73.128108,7.149964,15,10,2
7501041,1,75,7500007,7500102,Olitas,-73.128108,7.149964,15,10,2
7501042,1,75,7500007,7500102,Olas II,-73.128108,7.149964,15,10,2
7501043,1,75,7500007,7500103,Norte Bajo,-73.17109,7.102514,15,10,2
7501044,1,75,7500007,7500103,San Rafael,-73.135114,7.139485,15,10,2
7501045,1,75,7500007,7500103,El Cinal,-73.120055,7.128506,15,10,2
7501046,1,75,7500007,7500103,Chapinero,-73.13191,7.13805,15,10,2
